
20240205	23:02:12	0c5898ab-088c-41b0-b5c7-2f269ba557e0	GET	http://localhost:4200	/cliente
20240205	23:02:19	00462a11-1f7c-4c98-b3b7-f3a0904c25d3	OPTIONS	http://localhost:4200	/pedido
20240205	23:02:19	a2ea0444-49e4-4fed-ae88-687f0553c7e6	POST	http://localhost:4200	/pedido
20240205	23:02:19	f37b004f-3c04-4017-854d-66db708b875d	GET	http://localhost:4200	/cliente
20240205	23:02:19	ab12ba97-0f67-4628-8661-e934ca6df6f0	GET	http://localhost:4200	/pedido/lista
20240205	23:12:32	a59a3c2d-d96c-4cfd-99ac-2026df2450fe	GET	http://localhost:4200	/pedido/lista
20240205	23:13:22	bf2d277b-7466-42ee-b587-8f4ce4081e09	GET	http://localhost:4200	/pedido/lista
20240205	23:15:36	da341b17-cdfd-4899-8e5d-5d6dc750e01a	GET	http://localhost:4200	/pedido/lista
20240205	23:15:56	4d0cd422-0de7-4fbf-8886-efe99980fed8	GET	http://localhost:4200	/pedido/lista
20240205	23:16:13	f7f1c1a3-6cdc-4c48-9ccc-d5a8ac5b8bc1	GET	http://localhost:4200	/pedido/lista
20240205	23:16:24	bef3b253-5c3f-485f-aa2b-e8b012d9000f	GET	http://localhost:4200	/pedido/lista
20240205	23:17:14	a54a2285-bfce-4ea8-951b-635a807ce866	GET	http://localhost:4200	/pedido/lista
20240205	23:18:24	f8ba9237-2995-417d-b71f-68a3e76aeada	GET	http://localhost:4200	/pedido/lista
20240205	23:18:38	e88d20ae-f38b-4053-b4b9-ee32e2145425	GET	http://localhost:4200	/pedido/lista
20240205	23:32:02	46fa957d-f177-48d9-8081-86ac7e87baba	GET	http://localhost:4200	/pedido/lista
20240205	23:35:06	9786ba22-9e76-4b92-bf6a-5ddc4896088b	GET	http://localhost:4200	/pedido/lista
20240205	23:35:37	261aef8c-5e3b-4ef3-8ffc-f4d09f524db2	GET	http://localhost:4200	/pedido/lista
20240205	23:35:41	37668b9f-89f0-47c2-a48a-26bc3f2fef1b	GET	http://localhost:4200	/pedido/lista
20240205	23:36:14	0bf9216b-b6da-4851-a9c8-d4b53749db2d	GET	http://localhost:4200	/pedido/lista
20240205	23:40:09	97c235c3-0d94-41ce-9f7a-dfcf7fc67f51	GET	http://localhost:4200	/pedido/lista
20240205	23:41:13	b0645d12-5bb0-4f70-9d70-68d5f63c01fc	GET	http://localhost:4200	/pedido/lista
20240205	23:41:40	f3080818-4b41-4cc8-a648-e9beed66b0f5	GET	http://localhost:4200	/pedido/lista
20240205	23:41:41	48cf0900-cde5-45c1-82b2-549c3066aeee	GET	http://localhost:4200	/pedido/lista
20240205	23:42:44	6c7dae62-da58-4610-8613-5c92d46a0f22	GET	http://localhost:4200	/pedido/lista
20240205	23:42:48	f70a3438-2e62-4122-91ed-ea31e2af40db	GET	http://localhost:4200	/pedido/lista
20240205	23:50:58	7af8f094-4be5-4861-8e9a-f43d2d483849	GET	http://localhost:4200	/pedido/lista
20240205	23:51:00	d469021e-424d-45ab-a254-9ff7d4e0cc5f	GET	http://localhost:4200	/pedido/lista
20240205	23:51:01	c7bcae63-0222-4352-8e93-2ac590c27841	GET	http://localhost:4200	/pedido/lista
20240205	23:51:04	f4546e3f-d2d2-4da5-95e5-1d1352810fd5	GET	http://localhost:4200	/pedido/lista
20240205	23:51:31	6317ba96-afc9-4356-88f4-94292fa57336	GET	http://localhost:4200	/pedido/lista
20240205	23:52:16	41cc03c2-cc53-4516-8662-e1004005ddae	GET	http://localhost:4200	/pedido/lista
20240205	23:52:30	b4dcd03a-87d4-4600-b0b6-ab7ebe9a964c	GET	http://localhost:4200	/pedido/lista
20240205	23:52:46	15fa46a5-d726-4c7f-8190-07127a0bc8eb	GET	http://localhost:4200	/pedido/lista
20240205	23:52:49	4c41b7f0-71b1-4e79-bbe4-127f9303a79a	GET	http://localhost:4200	/pedido/lista
20240205	23:53:23	de98c5ef-8951-4040-921b-c05289fb9fae	GET	http://localhost:4200	/pedido/lista
20240205	23:54:33	137aaf21-84a1-48cc-b92c-f72a38bde138	GET	http://localhost:4200	/pedido/lista
